,Title,Rank,Type,Episodes,Aired,Score
6244,Xingchen Bian 5th Season,2260,ONA,?,Dec 2022 -,7.36
6245,Usavich IV,6116,TV,13,Apr 2011 - Sep 2011,6.55
6246,Loups=Garous #Overture,11191,OVA,2,Aug 2010 - Aug 2010,5.38
6247,Nakanaori,12421,ONA,1,2011 - 2011,4.68
6248,Ichigo 100%,5712,TV,12,Apr 2005 - Jun 2005,6.63
6249,Soul Reviver,11968,Special,1,Apr 2013 - Apr 2013,5.04
6250,Cowboy Bebop: Ein no Natsuyasumi,7389,Special,1,Dec 2012 - Dec 2012,6.31
6251,"Sengoku Basara Ni: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",3130,Special,1,Apr 2011 - Apr 2011,7.19
6252,Shin Chuuka Ichiban! 2nd Season,5731,TV,12,Jan 2021 - Mar 2021,6.63
6253,One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,1128,Special,1,Aug 2015 - Aug 2015,7.71
6254,Golden Kamuy 2nd Season,302,TV,12,Oct 2018 - Dec 2018,8.24
6255,Yu☆Gi☆Oh! Duel Monsters GX,3085,TV,180,Oct 2004 - Mar 2008,7.19
6256,Fumetsu no Anata e Season 2,490,TV,20,Oct 2022 - Mar 2023,8.08
6257,Senyoku no Sigrdrifa,6665,TV,12,Oct 2020 - Dec 2020,6.45
6258,Teekyuu,6113,TV,12,Oct 2012 - Dec 2012,6.55
6259,Vatican Kiseki Chousakan,6914,TV,12,Jul 2017 - Sep 2017,6.4
6260,Sekai Meisaku Douwa,8611,Unknown,20,Oct 1975 - Feb 1983,6.06
6261,Yume de Aetara,7282,OVA,3,Apr 1998 - Dec 1998,6.33
6262,Puzzle & Dragons Cross,6518,TV,89,Jul 2016 - Mar 2018,6.48
6263,Mass Effect: Paragon Lost,7636,Movie,1,Nov 2012 - Nov 2012,6.26
6264,Hantsu x Trash,11792,OVA,3,Oct 2015 - Nov 2016,5.13
6265,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: The Final - Ryoutsu Kankichi Saigo no Hi,6886,Special,1,Sep 2016 - Sep 2016,6.4
6266,Bucchigire!,8850,TV,12,Jul 2022 - Sep 2022,6
6267,Ozmafia!! Special,11184,Special,1,Oct 2016 - Oct 2016,5.39
6268,Mahou Shoujo Nante Mou Ii desu kara. Second Season,8534,TV,12,Oct 2016 - Dec 2016,6.07
6269,Chao Zhi Neng Zu Qiu 2: Shijie Dasai Pian,6844,TV,52,Mar 2018 - Jun 2018,6.41
6270,Gatchaman,7087,OVA,3,Oct 1994 - Apr 1995,6.37
6271,Wind: A Breath of Heart (TV),9299,TV,13,Jun 2004 - Sep 2004,5.91
6272,Code:Breaker OVA,5306,OVA,3,Dec 2012 - Apr 2013,6.71
6273,Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials,7858,Special,6,Dec 2012 - May 2013,6.21
6274,Gekitou! Crush Gear Turbo: Kaizabaan no Chousen,7394,Movie,1,Jul 2002 - Jul 2002,6.31
6275,Chainsaw Maid Episode 0,12052,Special,1,Oct 2010 - Oct 2010,4.99
6276,Pokemon Movie 20: Kimi ni Kimeta!,3522,Movie,1,Jul 2017 - Jul 2017,7.11
6277,Shukufuku no Campanella Specials,9613,Special,6,Sep 2010 - Feb 2011,5.83
6278,Tokyo Futago Athletic,10192,TV,8,Dec 2016 - Jan 2017,5.68
6279,Hentatsu (TV) Recap,11817,Special,1,Mar 2020 - Mar 2020,5.12
6280,Fantasy,12278,Movie,1,2012 - 2012,4.8
6281,Dark Cat,12763,OVA,1,Nov 1991 - Nov 1991,3.22
6282,Re:cycle of the Penguindrum,3436,Movie,2,Apr 2022 - Jul 2022,7.13
6283,Bem,8580,TV,12,Jul 2019 - Oct 2019,6.06
6284,Henkei Sakuhin Dai 2-ban,11607,Movie,1,1984 - 1984,5.23
6285,The Humanoid: Ai no Wakusei Lezeria,12350,OVA,1,Mar 1986 - Mar 1986,4.75
6286,Vassalord.,4996,OVA,1,Mar 2013 - Mar 2013,6.77
6287,Kuutei Dragons,4173,TV,12,Jan 2020 - Mar 2020,6.96
6288,Hand Maid May,5402,TV,10,Jul 2000 - Sep 2000,6.69
6289,Eko Eko Azarak,10222,OVA,1,Jan 2007 - Jan 2007,5.67
6290,Kiss Dum: Omokage,9272,Special,1,Sep 2011 - Sep 2011,5.91
6291,Ariel Visual,11300,OVA,2,Jul 1989 - Aug 1989,5.35
6292,Princess Army: Wedding★Combat,12228,OVA,2,Aug 1992 - Sep 1992,4.84
6293,Kimi to Boku. 2,674,TV,13,Apr 2012 - Jun 2012,7.93
6294,Made in Japan,11405,Movie,1,1972 - 1972,5.31
6295,Koukaku Kidoutai: Stand Alone Complex - The Laughing Man - Tachikoma na Hibi,5411,Special,1,Sep 2005 - Sep 2005,6.69
6296,Kamui no Ken,5844,Movie,1,Mar 1985 - Mar 1985,6.61
6297,21 Seiki Manga Hajimete Monogatari,9978,Special,1,Mar 2001 - Mar 2001,5.73
6298,Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai da yo!!,10221,Special,1,Sep 1999 - Sep 1999,5.67
6299,Isshuukan Friends.,1623,TV,12,Apr 2014 - Jun 2014,7.53
6300,Koutetsujou no Kabaneri,2678,TV,12,Apr 2016 - Jul 2016,7.27
6301,Jewelpet Kira☆Deco!,4600,TV,52,Apr 2012 - Mar 2013,6.86
6302,Plunderer,5786,TV,24,Jan 2020 - Jun 2020,6.62
6303,Hanbun no Tsuki ga Noboru Sora,1813,TV,6,Jan 2006 - Feb 2006,7.47
6304,Violence Jack: Jigoku Gai-hen,10693,OVA,1,Dec 1988 - Dec 1988,5.54
6305,Shinmai Renkinjutsushi no Tenpo Keiei Mini Anime,9209,ONA,13,Sep 2022 - Dec 2022,5.93
6306,Area 88,1747,OVA,3,Feb 1985 - Jun 1986,7.49
6307,Suki desu Suzuki-kun!!,9343,OVA,2,Dec 2009 - Jul 2010,5.9
6308,Power Dolls,11363,OVA,2,Mar 1996 - Mar 1998,5.33
6309,Bibury,11303,ONA,1,Aug 2017 - Aug 2017,5.35
6310,Bakugan: Geogan Rising,10641,ONA,26,Apr 2021 - Mar 2022,5.56
6311,Kyoushirou to Towa no Sora,6889,TV,12,Jan 2007 - Mar 2007,6.4
6312,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,5699,Movie,1,Jul 1989 - Jul 1989,6.63
6313,Mahou Shoujo Madoka★Magica,204,TV,12,Jan 2011 - Apr 2011,8.36
6314,Tiger & Bunny Pilot,8154,Special,1,May 2011 - May 2011,6.15
6315,Himesama Goyoujin,7420,TV,12,Apr 2006 - Jul 2006,6.3
6316,Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,4807,Special,1,Dec 2011 - Dec 2011,6.82
6317,Kaiketsu Zorro,2958,TV,52,Apr 1996 - Apr 1997,7.22
6318,Tales of Symphonia The Animation: Tethe'alla-hen,1886,OVA,4,Mar 2010 - Feb 2011,7.45
6319,Sleepy,11898,Movie,1,1980 - 1980,5.08
6320,Senki Zesshou Symphogear XV,359,TV,13,Jul 2019 - Sep 2019,8.19
6321,Mario Kirby Meisaku Video,11944,OVA,1,1993 - 1993,5.05
6322,Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,1511,Special,1,Oct 2005 - Oct 2005,7.56
6323,Let's Nupu Nupu,8070,TV,16,Oct 1998 - Nov 1998,6.17
6324,Futon,12037,Movie,1,2012 - 2012,5
6325,Fairy Ngoo,11870,ONA,4,Apr 2019 - May 2019,5.09
6326,Town Workers,9494,ONA,3,Sep 2014 - Sep 2014,5.86
6327,Tsuki no Sango,8158,Movie,1,Dec 2010 - Dec 2010,6.15
6328,Akuemon,9259,OVA,1,Jul 1993 - Jul 1993,5.91
6329,Iron Man,8712,TV,12,Oct 2010 - Dec 2010,6.04
6330,Super Doll Licca-chan,5810,TV,52,Oct 1998 - Sep 1999,6.61
6331,Attack Zero x Evangelion,11611,ONA,1,Nov 2020 - Nov 2020,5.22
6332,Ai no Wakakusa Monogatari Specials,8052,Special,2,2001 - 2001,6.17
6333,Kyokou Suiri,4368,TV,12,Jan 2020 - Mar 2020,6.91
6334,Shakugan no Shana-tan III (Final): Final Destruction,3994,Special,2,Jan 2012 - May 2012,7.01
6335,Baka to Test to Shoukanjuu,1650,TV,13,Jan 2010 - Apr 2010,7.52
6336,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,3752,TV,12,Apr 2017 - Jul 2017,7.06
6337,Kinkyuu Hasshin Saver Kids,6011,TV,50,Feb 1991 - Feb 1992,6.57
6338,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,2307,Movie,1,Aug 1994 - Aug 1994,7.35
6339,Bishoujo Senshi Sailor Moon Eternal Movie 2,1068,Movie,1,Feb 2021 - Feb 2021,7.73
6340,MahoYome Specials,8676,Special,6,Mar 2018 - Mar 2018,6.04
6341,Sorette♡Dakara ne!,12182,ONA,1,Jun 2011 - Jun 2011,4.88
6342,Kakumei no Wakaki Sora,8118,OVA,1,2010 - 2010,6.16
6343,Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,5921,Movie,1,Mar 1984 - Mar 1984,6.59
6344,Dragon Quest Retsuden: Roto no Monshou,9736,Movie,1,Apr 1996 - Apr 1996,5.8
6345,Tsunagaru,10633,Special,1,Nov 2011 - Nov 2011,5.56
6346,Spring has come!,11835,ONA,1,Apr 2016 - Apr 2016,5.11
6347,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,769,Movie,1,Feb 1988 - Feb 1988,7.88
6348,Beelzebub-jou no Okinimesu mama.,2872,TV,12,Oct 2018 - Dec 2018,7.23
6349,Karas,2212,OVA,6,Mar 2005 - Oct 2007,7.37
6350,Baja no Studio,4155,OVA,1,Oct 2017 - Oct 2017,6.96
6351,Gakkougurashi!,1332,TV,12,Jul 2015 - Sep 2015,7.62
6352,Escaflowne,3753,Movie,1,Jun 2000 - Jun 2000,7.06
6353,Element Hunters,5985,TV,39,Jul 2009 - Mar 2010,6.58
6354,"Hatena☆Illusion: Koi to Mahou no Illusion de, Muchuu Sasechaimasu! Special",10662,Special,1,Feb 2020 - Feb 2020,5.55
6355,Yu☆Gi☆Oh! The Dark Side of Dimensions Special: Eien no Rival - Yuugi to Kaiba!,5285,Special,1,Apr 2016 - Apr 2016,6.72
6356,Moyashimon,1515,TV,11,Oct 2007 - Dec 2007,7.56
6357,KochinPa!,12693,TV,12,Dec 2015 - May 2016,4.05
6358,Medaka no Gakkou,8744,OVA,5,Apr 2001 - Feb 2005,6.03
6359,La Rose de Versailles,10575,Special,1,2007 - 2007,5.58
6360,Barbapapa (1977),9677,TV,48,Apr 1977 - Jun 1977,5.81
6361,Arifureta Shokugyou de Sekai Saikyou Recap,8490,Special,1,Aug 2019 - Aug 2019,6.08
6362,Ribbon no Kishi (1999),9284,Movie,1,Dec 1999 - Dec 1999,5.91
6363,Daishizen no Majuu: Bagi,7163,Movie,1,Aug 1984 - Aug 1984,6.35
6364,Phantom: Requiem for the Phantom,672,TV,26,Apr 2009 - Sep 2009,7.94
6365,Kaguya-hime,6070,Movie,1,1961 - 1961,6.56
6366,Saber Marionette J Again,2973,OVA,6,Nov 1997 - Jun 1998,7.22
6367,AIUEO Anime Sekai no Douwa: Aesop Monogatari Anime Series,7611,TV,26,Jun 1989 - Dec 1989,6.26
6368,Rosario to Vampire,5122,TV,13,Jan 2008 - Mar 2008,6.75
6369,Cluster Edge Specials,7388,Special,3,Sep 2006 - Sep 2006,6.31
6370,SK∞,563,TV,12,Jan 2021 - Apr 2021,8.02
6371,Kaeru San Yuushi,12592,Movie,1,Feb 1933 - Feb 1933,4.43
6372,Poputepipikku TV Special,2362,Special,2,Apr 2019 - Apr 2019,7.34
6373,Bokura wa Minna Kawai-sou Specials,3403,Special,14,Jul 2014 - Jan 2015,7.13
6374,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,3536,OVA,1,Aug 2013 - Aug 2013,7.1
6375,Mashle,1455,TV,12,Apr 2023 - Jul 2023,7.58
6376,Hanma Baki: Son of Ogre,1250,ONA,12,Sep 2021 - Sep 2021,7.66
6377,Eikoku Koi Monogatari Emma: Molders-hen,906,TV,12,Apr 2007 - Jul 2007,7.81
6378,Virtual-san wa Miteiru,11446,TV,12,Jan 2019 - Mar 2019,5.29
6379,Kill la Kill,542,TV,24,Oct 2013 - Mar 2014,8.04
6380,Wu Ying Sanqian Dao,7603,ONA,10,Mar 2022 - May 2022,6.27
6381,Ao no Kanata no Four Rhythm,5671,TV,12,Jan 2016 - Mar 2016,6.64
6382,NHK ni Youkoso!,240,TV,24,Jul 2006 - Dec 2006,8.31
6383,Yowamushi Pedal: Grande Road,509,TV,24,Oct 2014 - Mar 2015,8.06
6384,Senkou no Night Raid,4755,TV,13,Apr 2010 - Jun 2010,6.83
6385,High School Fleet Movie,1260,Movie,1,Jan 2020 - Jan 2020,7.65
6386,Kuroshitsuji II Specials,2056,Special,6,Oct 2010 - May 2011,7.41
6387,King's Raid: Ishi wo Tsugumono-tachi,8783,TV,26,Oct 2020 - Mar 2021,6.02
6388,Free! Eternal Summer,1329,TV,13,Jul 2014 - Sep 2014,7.62
6389,Kikansha Yaemon: D51 no Daibouken,10156,Movie,1,Mar 1974 - Mar 1974,5.69
6390,Chou Robot Seimeitai Transformers Micron Densetsu,4866,TV,52,Jan 2003 - Dec 2003,6.8
6391,Ultra B: Black Hole kara no Dokusaisha BB!!,7072,Movie,1,Mar 1988 - Mar 1988,6.37
6392,Rewrite 2nd Season,3126,TV,11,Jan 2017 - Mar 2017,7.19
6393,Ushio to Tora (TV) 2nd Season,727,TV,13,Apr 2016 - Jun 2016,7.9
6394,Wasurerareta Ningyou,10788,Movie,1,1980 - 1980,5.52
6395,Gokusen,2053,TV,13,Jan 2004 - Mar 2004,7.41
6396,JA Kumamoto Keizairen,9745,ONA,2,May 2016 - Oct 2019,5.8
6397,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai,6897,Special,1,Jan 2014 - Jan 2014,6.4
6398,Oshare Majo Love and Berry: Shiawase no Mahou,10239,Movie,1,Mar 2007 - Mar 2007,5.67
6399,Yao Shen Ji 6th Season,3816,ONA,52,Jan 2023 - Jul 2023,7.07
6400,Seikon no Qwaser: Jotei no Shouzou,7038,OVA,1,Oct 2010 - Oct 2010,6.38
6401,Restol: Teugsu Gujo Dae,9546,TV,26,Jan 1999 - Jul 1999,5.85
6402,3-gatsu no Lion,184,TV,22,Oct 2016 - Mar 2017,8.38
6403,Unico,3388,Movie,1,Mar 1981 - Mar 1981,7.14
6404,Kouryuu no Mimi: Mina no Shou,12344,OVA,2,Apr 1995 - Jun 1995,4.75
6405,Love Live! Sunshine!! Photo Session,9706,Movie,10,Jan 2019 - Jan 2019,5.8
6406,Gintama x Mameshiba,5311,Special,6,Dec 2013 - Dec 2013,6.71
6407,Seishain Cyborg 003,11802,ONA,2,Jan 2012 - Jan 2012,5.13
6408,Akuma no Memumemu-chan,10697,ONA,1,Jan 2018 - Jan 2018,5.54
6409,Tales of the Rays,9156,ONA,2,Feb 2017 - Jan 2018,5.94
6410,Fushigi na Kusuri,11398,Movie,1,1965 - 1965,5.31
6411,Youkoso Uchuujin,11690,Movie,1,1966 - 1966,5.19
6412,Yami wo Mitsumeru Hane,12186,Movie,1,2003 - 2003,4.88
6413,Generation of Chaos,12771,OVA,1,Sep 2001 - Sep 2001,3.06
6414,JU Chuuko Jidousha Hanbaishi x Peeping Life,11920,ONA,2,Sep 2013 - Nov 2014,5.07
6415,Andersen Monogatari,10456,Movie,1,Mar 1968 - Mar 1968,5.61
6416,Chuunibyou demo Koi ga Shitai! Ren Specials,3406,Special,7,Mar 2014 - Sep 2014,7.13
6417,Saezuru Tori wa Habatakanai: Don't Stay Gold,2512,OVA,1,Mar 2021 - Mar 2021,7.31
6418,Urusei Yatsura Movie 5: Kanketsu-hen,2018,Movie,1,Feb 1988 - Feb 1988,7.42
6419,Nazo no Kanojo X: Nazo no Natsu Matsuri,2657,OVA,1,Aug 2012 - Aug 2012,7.28
6420,Black★Rock Shooter (OVA),3555,OVA,1,Jul 2010 - Jul 2010,7.1
6421,Kasumin,6084,TV,26,Oct 2001 - Apr 2002,6.55
6422,Yakimochi Caprice,12223,Special,2,Dec 2011 - Apr 2012,4.85
6423,Futari no Oujisama,9862,Movie,1,Jul 1996 - Jul 1996,5.77
6424,Five Star Stories,5986,Movie,1,Mar 1989 - Mar 1989,6.58
6425,Military!: Tamatama Shoumetsu Suru Shiroki Hikari!,11284,Special,1,Mar 2015 - Mar 2015,5.35
6426,Tsuru ni Notte: Tomoko no Bouken,7963,Movie,1,Jul 1993 - Jul 1993,6.19
6427,Attraction,9312,ONA,1,Nov 2010 - Nov 2010,5.9
6428,Adachi to Shimamura Mini Anime,10138,ONA,30,Sep 2020 - Mar 2021,5.69
6429,Dorami & Doraemons: Space Land's Critical Event,6951,Movie,1,Mar 2001 - Mar 2001,6.39
6430,Lightning Trap: Leina & Laika,11507,OVA,1,May 1990 - May 1990,5.27
6431,Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!,10600,OVA,1,Aug 1999 - Aug 1999,5.57
6432,Mahouka Koukou no Rettousei: Raihousha-hen,2652,TV,13,Oct 2020 - Dec 2020,7.28
6433,Re:Zero kara Hajimeru Isekai Seikatsu,307,TV,25,Apr 2016 - Sep 2016,8.23
6434,Death March kara Hajimaru Isekai Kyousoukyoku,6615,TV,12,Jan 2018 - Mar 2018,6.46
6435,Initial D Final Stage,268,TV,4,May 2014 - Jun 2014,8.28
6436,K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,1930,Movie,1,Oct 2018 - Oct 2018,7.44
6437,Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,3013,ONA,4,Jan 2021 - Feb 2021,7.21
6438,Kobe to Watashi,12571,ONA,1,May 2010 - May 2010,4.47
6439,Tonari no Yamada-kun,3466,Movie,1,Jul 1999 - Jul 1999,7.12
6440,Space☆Dandy,780,TV,13,Jan 2014 - Mar 2014,7.88
6441,Issunboushi no Shusse,12587,Movie,1,1929 - 1929,4.45
6442,Actors: Songs Connection,7472,TV,12,Oct 2019 - Dec 2019,6.29
6443,Gakkou no Yuurei,9685,OVA,6,Oct 1995 - Dec 1997,5.81
6444,Ultraman Graffiti,11067,OVA,6,Oct 1990 - Oct 1990,5.43
6445,Chouetsu Sekai,11958,OVA,10,1991 - 1991,5.04
6446,Nerawareta Gakuen,4418,Movie,1,Oct 2012 - Oct 2012,6.9
6447,Chinzei Hachirou Tametomo,9517,ONA,1,Dec 2020 - Dec 2020,5.85
6448,Sensei no Ojikan: Dokidoki School Hours OVA,6376,OVA,7,Aug 2004 - Feb 2005,6.51
6449,5-toubun no Hanayome ∬,497,TV,12,Jan 2021 - Mar 2021,8.07
6450,Popee the Performer,2914,TV,39,Jan 2000 - Dec 2001,7.23
6451,Konnichiwa Anne: Before Green Gables,1452,TV,39,Apr 2009 - Dec 2009,7.58
6452,Ladies versus Butlers!,6075,TV,12,Jan 2010 - Mar 2010,6.56
6453,Gekiganger 3: The Movie,6702,OVA,1,Feb 1998 - Feb 1998,6.44
6454,Canary,12529,OVA,1,Mar 2002 - Mar 2002,4.55
6455,Super Lovers,4715,TV,10,Apr 2016 - Jun 2016,6.83
6456,Bakugan: Battle Planet Short Anime,11037,ONA,50,Apr 2019 - Oct 2019,5.43
6457,Li Shi Zhentan Shiwusuo: A Day in Lungmen,6255,ONA,6,Dec 2022 - Feb 2023,6.52
6458,Phi Brain: Kami no Puzzle - Shukuteki! Rätsel-hen,2837,TV,25,Oct 2013 - Mar 2014,7.24
6459,Nazotokine,12285,TV,12,Oct 2016 - Dec 2016,4.8
6460,Puso Ni Comi: Okawari,7524,ONA,26,Apr 2020 - Sep 2020,6.28
6461,Xi Yangyang Yu Hui Tailang: Fei Ma Qi Yu Ji,10027,Movie,1,Jan 2014 - Jan 2014,5.72
6462,Peter Pan no Bouken,4975,TV,41,Jan 1989 - Dec 1989,6.78
6463,Demi-chan wa Kataritai,1603,TV,12,Jan 2017 - Mar 2017,7.54
6464,Ranma ½: Yomigaeru Kioku,1459,OVA,2,Dec 1994 - Feb 1995,7.58
6465,Mr. Pen Pen II,9591,Special,1,Dec 1986 - Dec 1986,5.84
6466,Dungeon Meshi PV,9448,ONA,2,Jul 2017 - Sep 2019,5.87
6467,Naruto: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo! - Konoha no Sato no Dai Undoukai,4609,Special,1,Aug 2004 - Aug 2004,6.86
6468,Kinnikuman: Ooabare! Seigi Choujin,7778,Movie,1,Dec 1984 - Dec 1984,6.22
6469,Tobacco to Hai,11414,Movie,1,Oct 1965 - Oct 1965,5.3
6470,Angelique: Shiroi Tsubasa no Memoire,9981,OVA,2,Mar 2000 - Jun 2000,5.73
6471,Kidou Senshi Gundam Unicorn RE:0096,1336,TV,22,Apr 2016 - Sep 2016,7.62
6472,Starry Tales: Seiza wa Toki wo Koete,11719,Movie,1,Mar 2011 - Mar 2011,5.17
6473,Nanbaka: Shusseki Bangou no Tsuita Baka-tachi!,4376,Special,1,Apr 2017 - Apr 2017,6.91
6474,Scared Rider Xechs,11556,TV,12,Jul 2016 - Sep 2016,5.25
6475,Yama no Susume Second Season Specials,4641,Special,2,Oct 2014 - Mar 2015,6.85
6476,Kandagawa Jet Girls Recap,11351,Special,1,Nov 2019 - Nov 2019,5.33
6477,Hello Kitty no Papa Nante Daikirai,10550,OVA,1,Mar 1994 - Mar 1994,5.59
6478,Recorder to Randoseru Do♪,5652,TV,13,Jan 2012 - Mar 2012,6.64
6479,Oishinbo,4611,TV,136,Oct 1988 - Mar 1992,6.86
6480,Tamaya Shichiten Tanjoubi-hen CM,10380,ONA,1,Oct 2020 - Oct 2020,5.64
6481,Project BLUE Chikyuu SOS,5956,TV,6,Jul 2006 - Dec 2006,6.58
6482,Handsome Girl,10499,OVA,1,Jan 1992 - Jan 1992,5.6
6483,Shigurui,2233,TV,12,Jul 2007 - Oct 2007,7.37
6484,A Woman in a Fashion Building,12645,Movie,1,2015 - 2015,4.29
6485,Kizumonogatari I: Tekketsu-hen,191,Movie,1,Jan 2016 - Jan 2016,8.37
6486,Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,2702,Movie,1,Nov 2007 - Nov 2007,7.27
6487,Tenkai Knights,7149,TV,52,Apr 2014 - Mar 2015,6.35
6488,Soratobu Yuureisen,6022,Movie,1,Jul 1969 - Jul 1969,6.57
6489,Shakotan★Boogie,7362,OVA,4,Feb 1991 - Jul 1992,6.31
6490,Sora wo Kakeru Shoujo Picture Drama,7871,Special,9,Apr 2009 - Nov 2009,6.21
6491,Akebi-chan no Sailor-fuku,1173,TV,12,Jan 2022 - Mar 2022,7.69
6492,Futakoi,6700,TV,13,Oct 2004 - Dec 2004,6.44
6493,No Game No Life: Zero - Manner Movie,4903,Movie,1,Jul 2017 - Jul 2017,6.79
6494,Choujigen Game Neptune The Animation,4328,TV,12,Jul 2013 - Sep 2013,6.92
6495,Future Card Buddyfight Triple D,6300,TV,51,Apr 2016 - Mar 2017,6.52
6496,Pure Aluminum: Sunoko-tan.,11989,OVA,1,Dec 2008 - Dec 2008,5.03
6497,Utsunomiko,9908,Movie,1,Mar 1989 - Mar 1989,5.75
6498,Saiki Kusuo no Ψ-nan 2,163,TV,24,Jan 2018 - Jun 2018,8.42
6499,Show By Rock!! #,3801,TV,12,Oct 2016 - Dec 2016,7.05
6500,"Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito",5337,OVA,1,Mar 2013 - Mar 2013,6.7
6501,Rokushin Gattai GodMars: Juunana-sai no Densetsu,9699,OVA,1,Jun 1988 - Jun 1988,5.81
6502,Pugyuru,10008,TV,13,Apr 2004 - Jul 2004,5.73
6503,Peach Boy Riverside Mini Anime,11148,ONA,12,May 2021 - Jun 2021,5.4
6504,Natsufuku no Shoujo-tachi,8954,Special,1,Aug 1988 - Aug 1988,5.98
6505,Koukaku Kidoutai Arise: Another Mission,6431,Special,1,Jun 2013 - Jun 2013,6.5
6506,RWBY: Hyousetsu Teikoku,7142,TV,12,Jul 2022 - Sep 2022,6.36
6507,Hetalia: The World Twinkle Specials,3040,Special,3,Oct 2015 - Dec 2015,7.2
6508,Boku no Hero Academia: Sukue! Kyuujo Kunren!,2856,OVA,1,Apr 2017 - Apr 2017,7.24
6509,Kiki to Lala no Hakuchouza no Ohimesama,9704,OVA,1,Nov 1993 - Nov 1993,5.8
6510,Detective Conan: The Magician of Starlight,6784,Movie,1,2012 - 2012,6.42
6511,THE iDOLM@STER Cinderella Girls: Starlight Stage - Shinshun! Happy New Year Campaign,10075,Special,1,Dec 2017 - Dec 2017,5.71
6512,Tropical-Rouge! Precure,2016,TV,46,Feb 2021 - Jan 2022,7.42
6513,Garo: Honoo no Kokuin - Yurugaro,11042,TV,23,Oct 2014 - Feb 2015,5.43
6514,Tunshi Xingkong 2nd Season,936,ONA,104,Dec 2021 -,7.79
6515,Ensemble Stars!! 5th Anniversary Animation PV,5372,Special,1,Apr 2021 - Apr 2021,6.7
6516,Fastening Days 3,8568,ONA,3,Sep 2017 - Sep 2017,6.07
6517,Kirin Ashita no Calendar,10065,TV,1306,Jan 1980 - Oct 1984,5.71
6518,Guitar wo Motta Shounen: Kikaider vs. Inazuman,7169,Special,1,Sep 2003 - Sep 2003,6.35
6519,Coo: Tooi Umi kara Kita Coo,5829,Movie,1,Dec 1993 - Dec 1993,6.61
6520,Moeru! Oniisan,3119,TV,24,Mar 1988 - Sep 1988,7.19
6521,Kaibutsu-kun (1980),5085,TV,94,Sep 1980 - Sep 1982,6.76
6522,Himitsukessha Taka no Tsume x Glass no Kamen desu ga,11910,ONA,1,Mar 2013 - Mar 2013,5.08
6523,City Hunter: Hyakuman Dollar no Inbou,2429,Movie,1,Aug 1990 - Aug 1990,7.32
6524,Sakigake!! Otokojuku,2111,TV,34,Feb 1988 - Nov 1988,7.4
6525,Frame Arms: A Violent Struggle,12297,OVA,1,May 2015 - May 2015,4.79
6526,Tales of HR,8477,ONA,13,Jun 2018 - Dec 2019,6.08
6527,Kkoma Bus Tayo,10361,TV,26,Aug 2010 - Nov 2010,5.64
6528,Pokemon XY: Sora no Hahen,5197,Movie,1,Jul 2014 - Jul 2014,6.73
6529,Higurashi no Naku Koro ni Kaku: Outbreak,3018,OVA,1,Aug 2013 - Aug 2013,7.21
6530,Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,9197,Movie,1,Apr 1998 - Apr 1998,5.93
6531,Nanatsu no Umi no Tico Specials,8075,Special,2,Jun 2001 - Jun 2001,6.17
6532,Gensou Jotan Ellcia,9380,OVA,4,Oct 1992 - Sep 1993,5.89
6533,Granbelm,5526,TV,13,Jul 2019 - Sep 2019,6.67
6534,Isekai Shokudou 2,1213,TV,12,Oct 2021 - Dec 2021,7.67
6535,Kuuchuu Gunkan Atlantis,9693,Movie,1,Aug 2019 - Aug 2019,5.81
6536,"The☆Doraemons: Strange, Sweets, Strange?",8463,Movie,1,Mar 1999 - Mar 1999,6.09
6537,Pokemon (2019): Harukanaru Aoi Sora,2987,Special,1,Dec 2022 - Dec 2022,7.21
6538,3-gatsu no Lion Recap,5361,Special,1,Dec 2016 - Dec 2016,6.7
6539,Isekai Quartet Movie: Another World,1818,Movie,1,Jun 2022 - Jun 2022,7.47
6540,Shikong Zhi Xi,6581,ONA,13,Apr 2022 - Jul 2022,6.47
